level,unit,week,lesson,word,syllables,sounds,definition,example_1,example_2,example_3,non_example,syntax,etymology,word_sums,suffixes,apply,dictation,thumbs
1,2,1,1,command,com | mand,,To command is to give an order or instruction that must be obeyed.,The police commanded the criminal to stop running.,A king may command his subjects to kneel before him.,,"If you are asked to pass someone the water when you’re at a café, it’s not a command because you don’t have to obey it – but it is polite to do as you’re asked!",verb :: My sister :: commanded the dog to sit. || noun :: The army general :: gave outrageous commands.,"Command is of Latin origin, from commendare ‘to recommend, entrust to’, and came to English through Old French, in which it meant ‘to order’. || The current meaning of ‘to have authority or supreme power’ is from the late 14th century.","com:with, together + mand:to order => command",command + s || command + ed || command + ing || command + er || command + s,Would the word command be used for these situations? || Explain why/why not: || The instructions that a boss gives to his workers. || When the teacher tells you to sit quietly on the mat. || Asking a friend to play footy with you at recess. || When you need to wear a helmet when riding a bike. || What are some commands that you hear at school? || What commands do you hear at home? || Who are some people who give commands? || Tell the person next to you why they are able to do this.,,
1,2,1,2,demand,de | mand,,To demand is to ask for something in a forceful way.,Mr Jones demanded that the class get in out of the rain.,The hijackers were demanding a million-dollar ransom.,The crying child is demanding that his mother buy him an ice cream.,,verb :: The toddler :: demanded more TV time. || noun :: The demand for lemonade in the drink fountains :: was unlikely to be agreed to. || adjective :: The obstacle course :: was very demanding for a 5-year-old.,"Demand is of Latin origin, from demandare, meaning to ‘entrust, charge with a commission’. || It was originally used as a legal term for when you ‘ask for something as a right’ (i.e. it was owed to you).","de:un, down, off, totally, out, away + mand:to order => demand",demand + s || demand + ed || demand + er || demand + ing || demand + ly,Example or non-example? || Your parent telling you to get in the car right now. || A person insisting to a waiter that they have to have the table by the window. || Your little sister asking if she can borrow your shoes. || Your little sister stomping her feet and yelling that you have to let her borrow your shoes. || When the police tell someone to stop their car.,,
1,2,1,3,mandate,man | date,,To mandate something is to make it something you must do.,The school mandated that hats had to be worn at playtime.,The proposed law would mandate the use of solar power instead of fossil fuels.,The students wished they could mandate a three-day weekend.,There is no mandate to eat your lunch – but it is a good idea so you don’t run out of energy.,verb :: The local council :: mandated that all residents keep their garden tidy. || noun :: The mandate :: will give Mr. Jones the authority to clean up the town.,"Mandate is of Latin origin, from mandatum, meaning || ‘commission, command, order’. Manus, meaning ‘hand’ and dare meaning ‘to give’. Literally, ‘to give into one’s hand’. || By the 1500s, mandate was being used mostly to refer to judicial or legal orders.",man:hand + date:to give => mandate,mandate + s || mandate + ed || mandate + ing,Write sentences using at least two of the words you build.,,
1,2,1,4,countermand,coun | ter | mand,,To countermand is to cancel an order or command.,I am unable to countermand Principal Smith’s order.,"As it became clear that retreat was impractical, the orders were countermanded.","After the police successfully locked the suspect in the police van, they countermanded the order for back up.","If your teacher tells you to do something and your friend suggests that you don’t follow the teacher’s direction, that is not countermanding the teacher because your friend doesn’t have the authority to cancel the teacher’s order.",verb :: The officer :: countermanded the general’s order.,"Countermand is from an Anglo-French and Old || French word contremander. || Countre, from the Latin contra, meaning ‘against’ and mander, also from Latin meaning ‘to order’. || This word has been part of English for over 600 years. || In the military, soldiers are mandated (ordered) to follow the commands of the officers. To revoke or issue new orders is to countermand a previously given order. || The word is usually used in situations when a mandate (or order) has been given (e.g., police, law, military, government).",counter:against + mand:to order => countermand,countermand + s || countermand + ed || countermand + ing,,,
1,2,2,1,supervise,su | per | vise,,"To supervise something is to watch closely to make sure it is done correctly, or to watch people to make sure they are safe and behave well.",At least one teacher must supervise a class at any one time.,A building supervisor makes sure that the building is constructed correctly and safely.,"Small children need to be supervised closely around water, like swimming pools and lakes.","If the lifeguard at the pool is sitting in a shady spot reading a book, they are not supervising because they’re not watching closely.",verb :: The lifeguard :: supervised the busy beach.,"Supervise is of Latin origin, from supervidere, meaning ‘to oversee or inspect’. || During Medieval times, the word supervide was also used, but that stopped being used hundreds of years ago.",super:over + vis(e):to see => supervise,supervise + s || supervise + ed || supervise + ing || supervise + ion || supervise + or || supervise + s,Would the word supervise be used for these situations? || Explain why/why not: || You watch your little brother measure food for your cat to make sure he gives the cat enough to eat. || A teacher stands at the bus stop to help students catch the right bus after school. || The person looking after an exhibition at the art gallery falls asleep. || Your grandparent watches while you ride your bike around the park. || You have a babysitter who sends you outside to play while they sit inside on their phone. || When are you supervised at school? || What is something that you might supervise to make sure it’s done correctly? || Who might be a supervisor as part of their job?,,
1,2,2,2,visible,vis | ible,,"If something is visible, you can see it.",Is your classroom visible from the carpark?,More stars are visible in the country than the city because there is less light pollution from the streetlights and buildings.,,Bacteria is not visible to the naked eye.,adjective :: Firefighter’s uniforms :: are designed to be visible through thick smoke.,"Visible is of Latin origin, from visibilis, meaning ‘that which may be seen’.",vis:to see + ible:capable of => visible,visible + in || visible + ly,Example or non-example? || The black lines at the bottom of a swimming pool. || The sun on a clear day. || The moon on a cloudy night. || The Wi-Fi signal. || Someone standing in the middle of the oval on a clear day. || Someone standing in the middle of the oval on a very foggy day.,,
1,2,2,3,improvise,im | pro | vise,,To improvise is to make something up on the spot.,Some actors improvise their lines during a play instead of following the script.,"You can improvise a cubby house out of a large cardboard box, some long branches and an old bedsheet.","If you unexpectedly have a sleepover at a friend’s house, you might improvise a bed out of the cushions from the couch and a blanket.","If you follow the instructions to put a new Lego structure together very carefully, you are not improvising, because you are not making up the plans as you go.",verb :: The ballerina :: improvised her solo dance. || verb :: The library :: provides students with books to borrow.,"Improvise is of Latin origin, from the word improviso, || meaning ‘unforeseen, not studied or prepared || beforehand.’ || It came to English from Italian in 1808 and was used to refer to singing or speaking without having prepared ahead of time. || Provide has been used in English for much longer, since the 1500s, and also comes from Latin.",im:not + pro:forward + vis(e):to see => improvise,improvise + s || improvise + ed || improvise + ing || improvise + ion || improvise + er/or || improvise + s,Write sentences using at least two of the words you build.,,
1,2,2,4,revise,re | vise,,To revise something is to look at it to edit it or remember it better.,Teachers always ask students to revise their work before handing it in.,We revise previous lessons so we don’t forget what we have learned.,Dictionaries and encyclopedias are revised frequently to make sure they are up-to-date.,"If you glance at something twice, you are not revising it, because to revise you must be looking at it carefully to improve it or remember it better.",verb :: The student :: revised her notes before the test. || verb :: The author :: revised the draft of his novel.,"Revise is of Latin origin, from revisere, meaning ‘to look again’, and has been used in English since the 1560s.","re:back, again + vis(e):to see => revise",revise + s || revise + ed || revise + ing || revise + er || revise + ion || revise + s,,,
1,2,3,1,biology,bio | logy,,Biology is the science that studies living things.,"If you study biology, you learn about how plants, animals and even viruses live and grow.","Many people think marine biology means you work with dolphins all day, but it often means learning about seaweed and algae!","Human biology is the science of how our hearts, lungs, muscles and brains work.",,noun :: Biology :: is her favourite science topic. || noun :: We :: compare living and non-living things in biology lessons.,"Biology is of Greek origin. It was made up in 1802 by || two different scientists – one in Germany and || one in France – who apparently both came up with the new word without having spoken to each other. || Scientists often used Greek to make up new words to describe the new sciences they were studying, because they admired the philosophers and academics of Ancient Greece, such as Plato and Aristotle. The Ancient Greek philosophers did not often understand exactly how the natural world works, but they made lots of progress with maths, and prioritised rational thinking about the world.",bio:life + logy:study of => biology,,Would the word biology be used in these situations? || Explain why/why not? || Studying whether plants grow better in sunlight than in the dark. || Learning about how the heart pumps blood in our bodies. || Learning about the different states in Australia. || Comparing how fish and whales are able to breathe.,,
1,2,3,2,biography,bio | graphy,,A biography is an account of someone’s life that is written by someone else.,"Biographies are often written about world leaders, like Nelson Mandela or Queen Elizabeth.",A biography has to stick very close to the truth because it’s about the real events of someone’s life.,"Many people like to read biographies of their favourite athlete like Lionel Messi, or favourite musician, like Taylor Swift.",,noun :: Albert Einstein’s biography :: sells many copies around the world.,"Biography is of Greek origin, from the word biographia, and it is likely that it came into English from Medieval Latin.","bio:life + graphy:a writing, drawing or picture of => biography",biograph(y) + er => biographer,Example or non-example? || A short story of the main events in Sam Kerr’s life. || A newspaper article about the life of a local business owner. || The story of Harry Potter. || A newspaper article about the history of the town you live in.,,
1,2,3,3,geology,geo | logy,,Geology is the science that studies the structure of the Earth.,"If you study geology, you learn about how mountains, rivers, seas and other landforms are made.","Geology helps companies find precious minerals, like gold and iron ore, by studying different types of rocks that have those minerals in them. Geology is also used to find and dig up fossils.",Geology can also help us to understand earthquakes and volcanic eruptions.,,noun :: We :: learn about the three types of rock in geology. || noun :: The geography of our area :: is mostly flat with some small hills.,"Geology is of Greek origin, from geologia, meaning ‘the study of the Earth’. However, it first came to English from Latin, and originally meant ‘the study of the things of the Earth’, as opposed to what people at the time considered to be the works of God. || Geography is also of Greek origin and comes from the word geographia, meaning ‘description of the Earth’s surface’.","geo:earth + logy:study of => geology || geo:earth + graphy:a writing, drawing or picture of => geography",,Word Associations || geology – biology || geology – geography || biography – geographer,,
1,2,3,4,autograph,auto | graph,,An autograph is the signature of someone famous.,Some people like to collect autographs of celebrities.,"After a concert, you might wait for the musician to autograph your shirt.",Some rare autographs can sell for thousands of dollars.,,noun :: Queen Elizabeth’s autograph :: is very expensive. || verb :: Taylor Swift :: autographed hundreds of baseball caps.,"Autograph is of Greek origin, from the word autographos, meaning ‘written with one’s own hand’. || It originally referred to anyone’s signature, but over time, it has been used to refer specifically to the signature of celebrities and other famous people.","auto:self + graph:a writing, drawing, or picture of => autograph || autograph + s => autographs || autograph + ed => autographed || autograph + ing => autographing || auto + bio + graphy => autobiography",,Write sentences using at least two of the words you build.,,
1,2,4,1,correct,cor | rect,,"Something correct is right and true, and to correct something is to make it right.",Correct spelling makes your work look better and also makes it easier for a reader to follow your ideas.,Teachers spend a lot of time correcting students’ work.,,"If you don’t follow a recipe correctly, you might end up with a rock-hard cake or inedible muffins!",verb :: The student :: corrected her punctuation before she handed in her story. || adjective :: The netball referee :: made the correct decision to award a foul.,"Correct is of Latin origin, from correctus, meaning ‘to put straight or to set right’.","cor:with, together + rect:to put or keep straight => correct",correct + s || correct + ed || correct + ing || correct + ive || correct + able || correct + or || correct + ion || correct + s,Would the word correct be used for these situations? || Explain why/why not: || All the answers to a page of a maths problems are right. || The bus driver follows the route to school without missing any stops or having to double back to pick someone up. || Your teacher spends lunchtime fixing errors in a spelling test. || You write yesterday’s date at the top of your page. || Putting cardboard in the general rubbish bin instead of the recycling bin. || When do you make corrections to your work? || What is something that always needs to be done correctly when: || - cooking food? || - playing sport? || - playing a board game?,,
1,2,4,2,direct,dir | ect,,"If something is direct, it is straight to the point, or you aim straight towards something else.",Can you direct me to the canteen from here?,Lots of students walk directly across the oval to class instead of going around the long way on the path.,"A direct answer is usually better than a long, rambling story that never gets to the point!",,"verb :: The worker :: directed traffic through the roadworks. || noun :: The four directions :: are North, South, East and West. || noun :: The police officer :: gave a directive to the driver to pull over.","Direct is of Latin origin, from directus, meaning ‘to set straight’ or ‘guide’. || It was first used to mean writing an address on a letter so that it was sent, or directed, to the correct person.","di:away, apart + rect:to put or keep straight => direct",direct + s || direct + ed || direct + ing || direct + ly || direct + or || direct + ion || direct + ive || direct + s,"Example or non-example? || Aiming a ball at a target. || Telling a friend how to find something in your kitchen. || Going to the shops to buy new pencils for school, but on the way to the stationery section in Kmart you look at the clothes, the sports equipment, and the toys. || Someone asks if you liked a story, and you tell them you thought the pictures were nice and that you like other books by this author, before you say that it maybe wasn’t your favourite book ever, that it was fine, but just not your thing, although maybe you are wrong … || Someone asks If you liked a story and you tell them you did not.",,
1,2,4,3,rectangle,rect | angle,,A rectangle is a shape that has four sides and all four corners have 90 degrees.,A soccer field is a rectangle because it has four sides and each corner has 90 degrees.,"A diamond cannot be a rectangle because while it has four sides, two corners must be bigger than 90 degrees and two must be smaller than 90 degrees.",,"All squares are rectangles because they have four sides and four corners with 90 degrees each, but not all rectangles are squares – to be a square, all four sides must also be the same length.",noun :: Most boxes :: are rectangles. || adjective :: Rectangular objects :: are easier to stack than round objects.,"Rectangle is of French origin, from the Latin root ‘rect’ and the French word ‘angle’. || Before it was introduced to English, rectangular shapes were actually called ‘long squares’.",rect:to put or keep straight + angle:angle or corner => rectangle,"rectangle + s || rectangle + (ul)ar || rectangle + having the nature of, of the kind of",Write sentences using at least two of the words you build.,,
1,2,4,4,erect,erect,,To be erect is to stand up straight and to erect something is to put it up.,The guards outside Buckingham Palace stand very erect all day long.,The family erected their tent on their campsite.,Gardeners often erect climbing frames for climbing plants like tomatoes and grapevines.,"If you slouch over and hunch your shoulders, you are not standing erect.",verb :: The sports teacher :: erected the faction banners for the sports carnival. || verb :: The photographer :: told the students to stand erect for the class photo.,"Erect is of Latin origin, from erectus, meaning ‘upright’ or ‘not bending’, and has been used in English since the 1400s.","e:up, out of + rect:to put or keep straight => erect",erect + s || erect + ed || erect + ing || erect + ly,,,
1,2,5,1,produce,pro | duce,,"If you produce something, you make it or create it.",Dad produced a healthy dinner for the whole family.,Sally planned to produce a great painting.,Trees typically produce apples during the colder months.,"If you assemble a chest of drawers, you don’t produce it because you didn’t make it or create it, you just put it together.",verb :: Toyota :: produces millions of cars each year. || verb :: The boy :: worked hard to produce his best work. || noun :: All products :: are half-price this week! || noun :: The store :: sold a variety of fresh produce.,"Produce is of Latin origin, from the word producere, || meaning ‘to bring forth or draw out’. || The word developed over the years and is now used in the following contexts: || From the 1520s, used to refer to giving birth (animals or plants), e.g. The hen produced ten chickens. || From the 1580s, used to refer to putting on a play, e.g. The Shakespeare Company produced the play “The Twelfth Night”. || From the 1820s, used in reference to the economy, to create goods/manufacture, e.g. Australia produces sheep and wheat.","pro:forward + duce:to lead, bring forward => produce",produce + s || produce + ed || produce + ing || produce + ive || produce + er || produce + ion || produce + s,Would the word produce be used for these situations? || Explain why/why not: || When a farm grows wheat. || When Ikea makes furniture. || When I compose a new song. || When a supermarket sells eggs. || What do you produce during art lessons? || What about when you are cooking?,,
1,2,5,2,conduct,con | duct,,To conduct something is to guide or lead it.,I decided to conduct an experiment.,The council conducted a survey of the rubbish being put in the recycling bins.,"Copper is used to conduct electricity through cords to devices like lights, fridges, and washing machines.","If you follow someone’s directions during a game, you are not conducting the game, because you are not guiding or leading it.",verb :: Metals :: conduct heat better than wood and rubber.,"Conduct is of Latin origin, from the word conductus, meaning ‘to lead or bring together’. || It was originally a military term, meaning to lead, command, manage, direct.","con:with, together + duct:to lead, bring forward => conduct",conduct + s || conduct + ed || conduct + ing || conduct + ive || conduct + ible || conduct + or || conduct + ion || conduct + s,Example or non-example? || Doing an experiment. || Leading an orchestra. || Guiding a visitor from the car park to the office. || You tell someone how to get from the carpark to the office without taking them there. || Making a cake. || Lightning hits a streetlight and runs down the pole into the ground.,,
1,2,5,3,reduce,re | duce,,"To reduce something is to make it smaller in size or amount, or less in degree.",A healthy lifestyle reduces the risk of heart disease.,Swapping biscuits for carrot sticks reduces sugar consumption by 25 percent.,The new playground reduced the amount of space available for playing soccer.,"If you rearrange your toys, but don’t throw any out, you are not reducing the number of toys you have.",verb :: The gardener :: reduced the number of weeds. || verb :: Our school :: is reducing waste by recycling,"Reduce is of Latin origin, from reducere, meaning ‘to lead back, lead back, bring back, restore’. || The specific meaning ‘to bring an inferior condition’ (i.e. smaller) came from the military where you could have your rank ‘reduced’ (brought to a lower rank). In the 1700s it expanded to cover all things that were ‘lowered or diminished’ by making them smaller. The belief was that as things improved, they got bigger/higher, hence to go back (re-) was to make inferior/smaller (lead back).","re:back, again + duce:to lead, bring forward => reduce",reduce + s || reduce + ed || reduce + ing || reduce + ible || reduce + ive || reduce + ion || reduce + s,,,
1,2,5,4,deduce,de | duce,,To deduce is to reach a conclusion because of other things you know to be true.,The teacher deduced that Harry ate Jill’s lunch because of the crumbs on his desk.,My sister deduced that I borrowed her oversized red jacket after seeing it in my bag.,Alison cleverly deduced that I was the author of the letter.,"If you make a guess without having any evidence, or thinking about evidence, then you are not deducing because you are not using your knowledge of other things that are true.",verb :: Primrose :: deduced that John owned a cat based on the cat biscuits in his shopping trolley. || verb :: The teacher :: deducts 10% for every day an assignment is late.,"Deduce is of Latin origin, from the word deducen, meaning ‘to show, prove, demonstrate’. || It is also related to the Latin word deducere which means ‘to lead down, derive’.","de:un, down, off, totally, out, away + duce/duct:to lead, bring forward => deduce",deduce + s || deduce + ed || deduce + ing || deduce + ible || deduce + ive || deduce + ion || deduce + s,Write sentences using at least two of the words you build.,,
1,2,6,1,kilometre,kilo | metre,,A kilometre is a distance of 1000 metres.,"If you fly in a straight line, it is 3290 kilometres from Perth to Sydney.","Car speeds are measured in kilometres per hour, or how many thousands of metres you would travel if you kept at that speed without stopping.",Most people walk about 4 kilometres per hour.,,noun :: One kilometre :: is the distance from our school to the shops.,"Kilometre is of Greek origin, but was first used in || French when they developed the metric system of || measurement. ‘Metric’ also comes from ‘metre’ and means ‘a system of weights and measures based on the metre’ and which uses units of 10. || Before this, people measured distances using miles, which were 1000 paces; a yard, which was the length of a stick; and a foot, which was the length of a man’s foot. There were 12 inches to a foot, 3 feet to a yard and 1760 yards to a mile – not very easy to remember!",kilo:thousand + metre:measure => kilometre,kilometre + s => kilometres,"Would a kilometre be used to measure these things? || Explain why/why not: || The distance from Paris, France to London, England. || The speed at which a cheetah can run. || The speed at which a snail can travel. || The length of your desk. || How many kilometres can you run? || What could you measure in kilometres? || How many kilometres is the Great Wall of China? || The distance from the Earth to the Moon? || The distance from the Sun to Mars? || (21 926 km) || (384 400 km) || (208.65 million km) || Apply",,
1,2,6,2,millimetre,mil | li | metre,,A millimetre is a thousandth of a metre.,One thousand millimetres is one metre.,Carpentry nails and bolts are usually measured in millimetres.,Millimetres are too small a measurement for things like the length of a road or the distance between cities.,,noun :: One millimetre :: is about the width of a pen tip. || noun :: The jeweller :: measured the wedding ring in millimetres.,"Millimetre has been in used in English since 1802, and was || originally from French. || Metre comes from the Greek word metron, meaning ‘a verse’ – which gives us the use of the word in poetry – as well as ‘that by which anything is measured’. || When the metric system of measurement was developed, metre was chosen as the ‘fundamental unit of measurement’. || So that everyone uses a metre that is the same size, the length of a metre was first set at one ten-millionth of the distance from the Equator to the North Pole. Since 2019, a metre has been set as the length of the path light can travel in a vacuum within 1/299 792 458th of a second.",milli:thousand + metre:measure => millimetre,,Example or non-example? || The length of a fingernail || One thousandth of a metre || One thousand metres || The width of a blueberry,,
1,2,6,3,milligram,mil | li | gram,,A milligram is one thousandth of a gram.,"Small things you can see, like a strand of hair, a grain of salt, or an ant could be measured in milligrams.","If you add a teaspoon of salt when you are cooking two trays of choc-chip biscuits, you will only eat a few milligrams of salt in one biscuit.",,A bag of flour would not be weighed in milligrams because this unit of measurement is too small for that amount of flour.,noun :: One milligram :: is about the weight of a snowflake.,"Milligram uses both Latin and Greek morphemes, because using another term for ‘milli’ helps us to see the difference between something that is one thousand times bigger (kilo) or one thousand times smaller (milli). It was also first used in French.",milli:thousand + gram:small weight => milligram,milligram + s => milligrams,Write sentences using at least two of the words you build.,,
1,2,6,4,microgram,mi | cro | gram,,"A microgram is one millionth of a gram, which is how much something weighs.","Micrograms are used to measure things we only need a tiny amount of in our diet, like vitamins and minerals (e.g., iron).","Pharmacists and chemists use micrograms to make medicines, like paracetamol or antihistamines.","If there is a lot of smoke or other pollution in the air, weather agencies can measure the pollution using micrograms per square metre of air.",,noun :: Children :: should have about 45 micrograms of Vitamin C per day.,Microgram is of Greek origin. It was first used by the international scientific community in about 1890. || It is unclear who first came up with the word but it appears to have been used in French first.,micro:small + gram:small weight => microgram || microgram + s => micrograms || micro + metre => micrometre || kilo + gram => kilogram,,Write sentences using at least two of the words you build. || Match the examples to the appropriate unit of measurement:,,
1,2,7,1,precede,pre | cede,,To precede something or someone is to go in front or before them.,He allowed Alice to precede him when he exited the room.,The clowns were preceded by the dancing horses.,,"An index does not precede any sections of the book, because it is always found at the end.",verb :: The children :: preceded the teacher into the classroom. || adjective :: The preceding day :: was very stormy.,"Precede is of Latin origin, from the word preceden, meaning to ‘lead the way, go before in time or order’.","pre:before + cede:to give way, yield => precede",precede + s || precede + ed || precede + ing,Would the word precede be used for these situations? || Explain why/why not: || You enter the room before your best friend. || The last chapter in the book. || When you let your friend get a drink first. || Two cars pull into the carpark at the same time. || What is a situation when you might let someone precede you? || Can you think of a situation when someone else has let you precede them?,,
1,2,7,2,concede,con | cede,,"To concede something is to admit, often unwillingly, that it is true or right, or to give something to someone else, often reluctantly.",The student finally conceded that he did not hear what the teacher had asked him.,The protest ended after the company conceded to some of the workers’ demands.,,"If you do something wrong and you don’t admit it when you’re caught, then you have not conceded it.",verb :: The politician :: conceded the election to his opponent.,"Concede is of Latin origin, from the word concedere, meaning ‘to give way, yield, depart’. || Originally, to concede was to ‘admit as true’, but later used to also mean ‘to admit defeat’.","con:with, together + cede:to give way, yield => concede",concede + s || concede + ed || concede + ing,Example or non-example? || Admitting that Mum was right about needing a jumper at school. || Discussing with your friend which soccer team is the best. || Letting your brother have the last piece of chocolate cake because you want to cheer him up after a bad day. || Letting your brother have the last piece of chocolate cake after he wins the arm wrestle.,,
1,2,7,3,intercede,in | ter | cede,,To intercede is to step into someone else’s argument or problem to help them.,"If you intercede when two of your friends are having an argument, you are trying to help them reach an agreement.",You may hope that your sister or brother will intercede on your behalf when you are told off by your parents.,The mayor interceded on behalf of the woman’s son to have his prison sentence reduced.,"If you get involved in an argument because you helped to start it, then you would not be described as interceding.",verb :: The King :: interceded to pardon the prisoner.,"Intercede is of Latin origin, from inter, meaning ‘between’, and cedere, meaning ‘to go, yield’. || Previously, intercede was used to mean ‘to come between in space or time’. || It has been used to mean ‘to act on behalf of another’ since the early 1600s.","inter:between + cede:to give way, yield => intercede",intercede + s || intercede + ed || intercede + ing,,,
1,2,7,4,recede,re | cede,,If something recedes it moves away or becomes smaller.,The light receded as the sun set over the horizon.,"By middle-age, many men’s hairlines have started to recede.",,"Something going backwards is not receding, unless it is also moving further away.",verb :: The water :: receded from the shore.,"Recede is of Latin origin, from the word recedere, meaning ‘to go or fall back’. || It was first used in the early 15th century.","re:back, again + cede:to give way, yield => recede",recede + s || recede + ed || recede + ing,Write sentences using at least two of the words you build.,,
1,2,8,1,prescribe,pre | scribe,,To prescribe something is to advise or order it.,A doctor might prescribe antibiotics to cure an infection.,A physiotherapist often prescribes exercises to reduce their client’s pain or improve their strength.,,"If you make a guess for how to solve a problem, but aren’t confident that your suggestion will work, then you would not say you prescribed the solution.",verb :: The optometrist :: prescribed glasses for the young boy. || noun :: The prescription :: stated to take one tablet every four hours.,"Prescribe is of Latin origin, from the word praescribere, meaning ‘to write previously’. || It has been used in the medical sense, meaning to ‘advise, appoint, or designate as a remedy for a disease’ since around the 1580s. Prescription, meaning ‘written directions from a doctor’ has been used since the 1570s.",pre:before + scribe/script:to write => prescribe,prescribe + s || prescribe + ed || prescribe + ing || prescribe + er || prescribe + ive || prescribe + able || prescribe + ion || prescribe + er || prescribe + s,Would the word prescribe be used for these situations? || Explain why/why not: || You are told by the doctor you have asthma. || Your doctor tells you to get a puffer from the pharmacist and to use it twice per day. || The specialist tells you to walk for 30 minutes every day. || The specialist refers you for an x-ray. || Who is able to prescribe medicines or treatments? || When might you be prescribed something? || Can you think of a time you were given a prescription?,,
1,2,8,2,inscribe,in | scribe,,To inscribe something is to write or carve words on it.,They asked the jeweller to inscribe their initials on their wedding rings.,The name of the winning team was inscribed on the trophy.,It was hard to read the words inscribed on the wall of the ancient tomb.,Writing in chalk on the wall is not inscribing because it is not carved into the wall.,verb :: My grandmother’s locket :: was inscribed with her birth date. || noun :: The inscription :: had begun to fade over time. || noun :: The archaeologist :: could not read the inscription on the clay jug.,"Inscribe is of Latin origin, from the word inscribere, meaning ‘to write on or in something’. || It has been used since the mid-16th century.","in:in, into, on, upon + scribe/script:to write => inscribe",inscribe + s || inscribe + ed || inscribe + ing || inscribe + ion || inscribe + s,Example or non-example? || Carving your initials onto your wooden bedframe. || Decorating your bedroom with stickers. || Thanking everyone who donated money to the museum in a speech. || Writing the names of the museum donors on the walls of the building.,,
1,2,8,3,subscribe,sub | scribe,,"If you subscribe to a service, you sign up to get it regularly.",Companies email newsletters to people who have subscribed to their mailing list.,"If you subscribe to your favourite YouTube channel, you get notified when they release a new video.","Many people subscribe to the West Australian newspaper, which means it is delivered to their house every day.",,verb :: YouTubers :: ask their viewers to subscribe to their channel. || noun :: My family :: watches movies using our Netflix subscription.,"Subscribe is of Latin origin, from subscribere, meaning ‘to write, write underneath, sign one’s name, or register’. || It has been used since the mid-15th century.",sub:under + scribe:to write => subscribe,subscribe + s || subscribe + ed || subscribe + ing || subscribe + able || subscribe + ion || subscribe + s,,,
1,2,8,4,postscript,post | script,,A postscript is added below a piece of writing to give additional information.,You could add a postscript to your letter if you forget to include an important bit of information.,P.S. is an abbreviation of postscript and is often used in letters and emails.,,The conclusion of a story or report is not a postscript because it is part of the piece of writing instead of something added after it is finished.,noun :: The hastily written letter :: contained a postscript asking Jim to bring his bathers.,"Postscript is of Latin origin, from the words post scriptum, meaning ‘written after’. || It was first used in the mid-16th century.",post:after + script:to write => postscript,postscript + s,Write sentences using at least two of the words you build.,,
1,2,9,1,transform,trans | form,,To transform means to change into something else.,The human body transforms food into energy.,Your parents might transform the spare room in your house into a bedroom if you are about to get a new brother or sister.,,"If you get a haircut, you might feel fresher, but you have not changed into something else so you have not transformed.",verb :: The caterpillar :: transformed into a beautiful butterfly.,"Transform is of Latin origin, from the word transformare, meaning ‘change in shape, metamorphose’. || It has been in use since the 14th century and was initially used to refer to something that appeared to have changed as if by magic.","trans:across, beyond + form:to shape, to form => transform",transform + s || transform + ed || transform + ing || transform + able || transform + er || transform + s,Would the word transform be used for these situations? || Explain why/why not: || Putting on a costume and make up to make yourself look like a pirate. || Changing into your sports uniform. || Renovating a shipping container so that it can be used as a house. || Changing the boxes stored inside a shipping container. || Can you think of any animals that transform during their lifespan? || Can you think of a time when you transformed something?,,
1,2,9,2,information,in | form | a | tion,,"Information refers to knowledge, facts, or opinions about a person or thing.","People will often want to find out more information by reading reviews before buying something expensive, like a washing machine.",Companies are required to keep their customers’ personal information private.,An atlas contains information about the Earth in the form of maps and charts.,Guesses or made-up stories about something are not information because they are not knowledge or facts.,noun :: Many people :: watch the news to find out information about world events. || adjective :: David Attenborough documentaries :: are typically very informative.,"Information is of Latin origin, from the word informationem, meaning ‘outline, concept, idea’. || It has been used since the late 14th century.","in:in, into, on, upon + form:to shape, to form + (at)ion:noun of action => information",information + noun of action || information + (at)ive || information + having the quality or tendency of,Example or non-example? || Roald Dahl’s ‘Charlie and the Chocolate Factory’. || The instructions in the user manual for your television. || The list of ingredients in the biscuits you bought from Woolworths. || A comedy sketch show on YouTube.,,
1,2,9,3,reform,re | form,,To reform something is to change or improve it.,"After a recession, the government may try to reform the country’s economy.","A criminal may reform their behaviour, which means they stop committing crimes.",,To remake something the same way is not reforming it because it is not changed.,verb :: The school :: reformed its uniform policy.,"Reform is of Latin origin, from reformare, meaning ‘to form again, change, transform, alter’. || It has been in use since the late 14th century.","re:back, again + form:to shape, to form => reform",reform + s || reform + ed || reform + ing || reform + able || reform + (at)ive || reform + (at)ion || reform + er || reform + s,,,
1,2,9,4,uniform,uni | form,,"If something is uniform, it is even and regular, or the same in appearance.",The carrots were chopped into sticks of uniform size and thickness.,He applied the hair dye carefully to make sure the colour was uniform.,All of the desks in the classroom were uniform in appearance.,Cars in a car park are not usually a uniform size or shape.,adjective :: Machines :: create products that are more uniform than those created by humans. || noun :: The West Coast Eagles’ uniform :: is blue and yellow.,"Uniform is of Latin origin, from the word uniformis, meaning ‘having only one form or shape’ and has been used since the 1530s. || It has been used to mean ‘distinctive clothes worn by one group’ since 1748.","uni:one + form:to shape, to form => uniform",uniform + s || uniform + ed || uniform + ing || uniform + ly,Write sentences using at least two of the words you build.,,
